token,side,open_date,close_date,open_price,close_price,effective_open,effective_close,position_size,return,fees,pnl_eur_no_funding,funding,pnl_eur
APT,LONG,2025-06-05,2025-07-05,4.6204,4.4034,4.6250203999999995,4.3989966,5.0,-0.04886979525538941,0.0045,-0.24884897627694708,-0.0026506455100284536,-0.25149962178697555
CHILLGUY,LONG,2025-06-05,2025-07-05,0.057217,0.052364,0.05727421699999999,0.052311636,5.0,-0.08664598592417226,0.0045,-0.4377299296208613,0.03303430342253305,-0.4046956261983283
ETH,LONG,2025-06-05,2025-07-05,2529.9,2505.5,2532.4298999999996,2502.9945,5.0,-0.011623381954225012,0.0045,-0.06261690977112506,0.025634786782568003,-0.03698212298855706
OM,SHORT,2025-06-05,2025-07-05,0.2928,0.20364,0.2925072,0.20384363999999996,5.0,0.30311582073877175,0.0045,1.5110791036938587,0.03469079644477127,1.54576990013863
BERA,SHORT,2025-06-05,2025-07-05,2.2742,1.6246,2.2719258,1.6262245999999998,5.0,0.28420875364855674,0.0045,1.4165437682427837,-0.12661807604370268,1.289925692199081
USUAL,SHORT,2025-06-05,2025-07-05,0.09746,0.06623,0.09736254000000001,0.06629622999999998,5.0,0.3190786723518103,0.0045,1.5908933617590517,-0.1108777930139764,1.4800155687450753
APT,LONG,2025-06-06,2025-07-06,4.6007,4.4528,4.605300699999999,4.4483472,5.0,-0.03408105359982234,0.0045,-0.17490526799911169,-0.0061332385238926975,-0.18103850652300438
PROMPT,LONG,2025-06-06,2025-07-06,0.17532,0.1295,0.17549531999999998,0.1293705,5.0,-0.26282649588604406,0.0045,-1.3186324794302202,0.02034930532865492,-1.2982831741015652
GMX,LONG,2025-06-06,2025-07-06,15.065,13.998,15.080064999999998,13.984001999999998,5.0,-0.07268290952326792,0.0045,-0.3679145476163396,-0.024054961957060535,-0.39196950957340015
WCT,SHORT,2025-06-06,2025-07-06,0.41186,0.30371,0.41144814,0.30401370999999994,5.0,0.26111293151063963,0.0045,1.3010646575531981,-0.11571242501248152,1.1853522325407166
OM,SHORT,2025-06-06,2025-07-06,0.30029,0.21082,0.29998971,0.21103081999999998,5.0,0.2965398046486329,0.0045,1.4781990232431645,0.03321597853643047,1.511415001779595
LDO,SHORT,2025-06-06,2025-07-06,0.76428,0.7357,0.76351572,0.7364356999999999,5.0,0.03546753431612396,0.0045,0.1728376715806198,0.05010725541981637,0.22294492700043617
BTC,LONG,2025-06-07,2025-07-07,105672.0,108062.0,105777.67199999999,107953.938,5.0,0.020573963851274808,0.0045,0.09836981925637403,0.03548597257139012,0.13385579182776414
ADA,LONG,2025-06-07,2025-07-07,0.66391,0.57981,0.6645739099999999,0.5792301900000001,5.0,-0.12841870364727348,0.0045,-0.6465935182363673,0.03750049348405809,-0.6090930247523093
BNB,LONG,2025-06-07,2025-07-07,651.54,661.11,652.1915399999999,660.44889,5.0,0.012660927800443545,0.0045,0.058804639002217725,0.000260198046788525,0.05906483704900625
OM,SHORT,2025-06-07,2025-07-07,0.30339,0.20648,0.30308661,0.20668647999999998,5.0,0.31806132907026147,0.0045,1.5858066453513073,0.03246813595292119,1.6182747813042284
MAVIA,SHORT,2025-06-07,2025-07-07,0.16057,0.13081,0.16040943,0.13094081,5.0,0.18370877572471894,0.0045,0.9140438786235947,0.05329000633432211,0.9673338849579168
AI16Z,SHORT,2025-06-07,2025-07-07,0.21458,0.15015,0.21436542,0.15030015,5.0,0.29886009599869234,0.0045,1.4898004799934619,0.03645692654006416,1.5262574065335262
