token,side,open_date,close_date,open_price,close_price,effective_open,effective_close,position_size,return,fees,pnl_eur_no_funding,funding,pnl_eur,liquidated,liquidation_date,liq_price,worst_price,pnl_eur_clean,equity
APT,LONG,2025-06-05 00:00:00+00:00,2025-07-05 00:00:00+00:00,4.6204,4.4034,4.6250203999999995,4.3989966,10.0,-0.0488697952553894,0.009,-0.4976979525538941,-0.0053012910200569,-0.5029992435739511,False,,2.3125101999999997,3.8339,-0.5029992435739511,-0.5029992435739511
CHILLGUY,LONG,2025-06-05 00:00:00+00:00,2025-07-05 00:00:00+00:00,0.057217,0.052364,0.0572742169999999,0.052311636,10.0,-0.0866459859241722,0.009,-0.8754598592417226,0.0660686068450661,-0.8093912523966565,False,,0.0286371084999999,0.040594,-0.8093912523966565,-1.3123904959706076
ETH,LONG,2025-06-05 00:00:00+00:00,2025-07-05 00:00:00+00:00,2529.9,2505.5,2532.4298999999996,2502.9945,10.0,-0.011623381954225,0.009,-0.1252338195422501,0.051269573565136,-0.0739642459771141,False,,1266.2149499999998,2183.0,-0.0739642459771141,-1.3863547419477218
OM,SHORT,2025-06-05 00:00:00+00:00,2025-07-05 00:00:00+00:00,0.2928,0.20364,0.2925072,0.2038436399999999,10.0,0.3031158207387717,0.009,3.0221582073877173,0.0693815928895425,3.09153980027726,False,,0.4387608,0.30725,3.09153980027726,1.7051850583295383
BERA,SHORT,2025-06-05 00:00:00+00:00,2025-07-05 00:00:00+00:00,2.2742,1.6246,2.2719258,1.6262245999999998,10.0,0.2842087536485567,0.009,2.833087536485567,-0.2532361520874053,2.579851384398162,False,,3.4078887,2.5273,2.579851384398162,4.2850364427277
USUAL,SHORT,2025-06-05 00:00:00+00:00,2025-07-05 00:00:00+00:00,0.09746,0.06623,0.09736254,0.0662962299999999,10.0,0.3190786723518103,0.009,3.181786723518103,-0.2217555860279528,2.9600311374901507,False,,0.14604381,0.11252,2.9600311374901507,7.24506758021785
APT,LONG,2025-06-06 00:00:00+00:00,2025-07-06 00:00:00+00:00,4.6007,4.4528,4.605300699999999,4.4483472,10.0,-0.0340810535998223,0.009,-0.3498105359982233,-0.0122664770477853,-0.3620770130460087,False,,2.3026503499999995,3.8339,-0.3620770130460087,6.882990567171841
PROMPT,LONG,2025-06-06 00:00:00+00:00,2025-07-06 00:00:00+00:00,0.17532,0.1295,0.1754953199999999,0.1293705,10.0,-0.262826495886044,0.009,-2.6372649588604404,0.0406986106573098,-2.5965663482031305,False,,0.0877476599999999,0.11779,-2.5965663482031305,4.286424218968711
GMX,LONG,2025-06-06 00:00:00+00:00,2025-07-06 00:00:00+00:00,15.065,13.998,15.080064999999998,13.984001999999998,10.0,-0.0726829095232679,0.009,-0.7358290952326793,-0.048109923914121,-0.7839390191468003,False,,7.540032499999999,12.61,-0.7839390191468003,3.5024851998219106
WCT,SHORT,2025-06-06 00:00:00+00:00,2025-07-06 00:00:00+00:00,0.41186,0.30371,0.41144814,0.3040137099999999,10.0,0.2611129315106396,0.009,2.602129315106396,-0.231424850024963,2.3707044650814333,False,,0.61717221,0.46819,2.3707044650814333,5.873189664903344
OM,SHORT,2025-06-06 00:00:00+00:00,2025-07-06 00:00:00+00:00,0.30029,0.21082,0.29998971,0.2110308199999999,10.0,0.2965398046486329,0.009,2.956398046486329,0.0664319570728609,3.02283000355919,False,,0.449984565,0.30725,3.02283000355919,8.896019668462534
LDO,SHORT,2025-06-06 00:00:00+00:00,2025-07-06 00:00:00+00:00,0.76428,0.7357,0.76351572,0.7364356999999999,10.0,0.0354675343161239,0.009,0.3456753431612396,0.1002145108396327,0.4458898540008723,False,,1.14527358,0.96303,0.4458898540008723,9.341909522463407
AI16Z,SHORT,2025-06-07 00:00:00+00:00,2025-07-07 00:00:00+00:00,0.21458,0.15015,0.21436542,0.15030015,10.0,0.2988600959986923,0.009,2.979600959986924,0.0729138530801283,3.0525148130670523,False,,0.32154813,0.23975,3.0525148130670523,12.39442433553046
MAVIA,SHORT,2025-06-07 00:00:00+00:00,2025-07-07 00:00:00+00:00,0.16057,0.13081,0.16040943,0.13094081,10.0,0.1837087757247189,0.009,1.8280877572471896,0.1065800126686442,1.9346677699158337,False,,0.240614145,0.17437,1.9346677699158337,14.329092105446293
OM,SHORT,2025-06-07 00:00:00+00:00,2025-07-07 00:00:00+00:00,0.30339,0.20648,0.30308661,0.2066864799999999,10.0,0.3180613290702614,0.009,3.1716132907026147,0.0649362719058423,3.236549562608457,False,,0.4546299149999999,0.30725,3.236549562608457,17.56564166805475
BTC,LONG,2025-06-07 00:00:00+00:00,2025-07-07 00:00:00+00:00,105672.0,108062.0,105777.672,107953.938,10.0,0.0205739638512748,0.009,0.196739638512748,0.0709719451427802,0.2677115836555283,False,,52888.836,98849.0,0.2677115836555283,17.833353251710278
ADA,LONG,2025-06-07 00:00:00+00:00,2025-07-07 00:00:00+00:00,0.66391,0.57981,0.6645739099999999,0.5792301900000001,10.0,-0.1284187036472734,0.009,-1.2931870364727347,0.0750009869681161,-1.2181860495046186,False,,0.3322869549999999,0.52406,-1.2181860495046186,16.615167202205658
BNB,LONG,2025-06-07 00:00:00+00:00,2025-07-07 00:00:00+00:00,651.54,661.11,652.1915399999999,660.44889,10.0,0.0126609278004435,0.009,0.1176092780044354,0.000520396093577,0.1181296740980125,False,,326.09576999999996,605.2,0.1181296740980125,16.73329687630367
VVV,LONG,2025-06-08 00:00:00+00:00,2025-07-08 00:00:00+00:00,3.0218,2.7609,3.0248217999999993,2.7581390999999997,10.0,-0.0881647639540285,0.009,-0.8906476395402851,-0.1896523570751837,-1.080299996615469,False,,1.5124108999999997,2.3148,-1.080299996615469,15.6529968796882
GMX,LONG,2025-06-08 00:00:00+00:00,2025-07-08 00:00:00+00:00,15.932,14.02,15.947931999999998,14.00598,10.0,-0.1217682643743401,0.009,-1.226682643743401,-0.0553184555525443,-1.2820010992959454,False,,7.973965999999999,12.61,-1.2820010992959454,14.370995780392255
RENDER,LONG,2025-06-08 00:00:00+00:00,2025-07-08 00:00:00+00:00,3.8914,3.2106,3.8952914,3.2073894,10.0,-0.1765983412691538,0.009,-1.774983412691538,0.0695364365445676,-1.7054469761469704,False,,1.9476457,2.6746,-1.7054469761469704,12.665548804245285
PROMPT,SHORT,2025-06-08 00:00:00+00:00,2025-07-08 00:00:00+00:00,0.20408,0.12524,0.20387592,0.12536524,10.0,0.3850905001434206,0.009,3.841905001434206,0.0366971367107503,3.878602138144957,False,,0.30581388,0.20408,3.878602138144957,16.544150942390242
MAVIA,SHORT,2025-06-08 00:00:00+00:00,2025-07-08 00:00:00+00:00,0.16071,0.13322,0.1605492899999999,0.13335322,10.0,0.169393897662207,0.009,1.6849389766220702,0.1059480336634936,1.790887010285564,False,,0.2408239349999998,0.17437,1.790887010285564,18.335037952675805
