perp,time,fundingRate
0G,2025-10-26 16:00:00.039000+00:00,-1.83643e-05
0G,2025-10-27 00:00:00.020000+00:00,-0.0001040598
0G,2025-10-27 08:00:00.067000+00:00,-0.0002642005
0G,2025-10-27 16:00:00.054000+00:00,-0.0003244259
0G,2025-10-28 00:00:00.041000+00:00,-0.0008031199
0G,2025-10-28 08:00:00.069000+00:00,-0.0001230783
0G,2025-10-28 16:00:00.046000+00:00,3.7627e-06
0G,2025-10-29 00:00:00.102000+00:00,1.25e-05
0G,2025-10-29 08:00:00.053000+00:00,-7.82621e-05
0G,2025-10-29 16:00:00.064000+00:00,-0.0002138021
0G,2025-10-30 00:00:00.035000+00:00,-0.0001410808
0G,2025-10-30 08:00:00.024000+00:00,-4.9947e-05
0G,2025-10-30 16:00:00.037000+00:00,-0.0003032099
0G,2025-10-31 00:00:00.006000+00:00,-0.0002861899
0G,2025-10-31 08:00:00.065000+00:00,-0.0003467711
0G,2025-10-31 16:00:00.068000+00:00,-0.0002679679
0G,2025-11-01 00:00:00.078000+00:00,-0.0002287627
0G,2025-11-01 08:00:00.039000+00:00,-0.000169508
0G,2025-11-01 16:00:00.044000+00:00,-0.0001575242
0G,2025-11-02 00:00:00.094000+00:00,-0.0002951081
0G,2025-11-02 08:00:00.040000+00:00,-0.0003861928
0G,2025-11-02 16:00:00.038000+00:00,1.25e-05
0G,2025-11-03 00:00:00.108000+00:00,-0.0001652042
0G,2025-11-03 08:00:00.009000+00:00,-0.0073884085
0G,2025-11-03 16:00:00.024000+00:00,-0.0025846637
0G,2025-11-04 00:00:00.009000+00:00,-0.0028666954
0G,2025-11-04 08:00:00.064000+00:00,-0.0078556001
0G,2025-11-04 16:00:00+00:00,-0.0036574405
0G,2025-11-05 00:00:00.005000+00:00,-0.001089271
0G,2025-11-05 08:00:00.051000+00:00,-0.0013691992
0G,2025-11-05 16:00:00.017000+00:00,-0.0005432876
0G,2025-11-06 00:00:00.097000+00:00,-0.0013573592
0G,2025-11-06 08:00:00.018000+00:00,-0.0006355933
0G,2025-11-06 16:00:00.024000+00:00,-0.0003186596
0G,2025-11-07 00:00:00.115000+00:00,-0.0005022555
0G,2025-11-07 08:00:00.013000+00:00,-0.0004955653
0G,2025-11-07 16:00:00.018000+00:00,-0.0007779089
0G,2025-11-08 00:00:00.094000+00:00,-0.0006675159
0G,2025-11-08 08:00:00.058000+00:00,-0.0026417175
