token,side,open_date,close_date,open_price,close_price,effective_open,effective_close,position_size,return,fees,pnl_eur_no_funding,funding,pnl_eur
APT,LONG,2025-06-05,2025-07-05,4.6204,4.4034,4.6250203999999995,4.3989966,10.0,-0.04886979525538941,0.009,-0.49769795255389415,-0.005301291020056907,-0.5029992435739511
CHILLGUY,LONG,2025-06-05,2025-07-05,0.057217,0.052364,0.05727421699999999,0.052311636,10.0,-0.08664598592417226,0.009,-0.8754598592417226,0.0660686068450661,-0.8093912523966565
ETH,LONG,2025-06-05,2025-07-05,2529.9,2505.5,2532.4298999999996,2502.9945,10.0,-0.011623381954225012,0.009,-0.12523381954225013,0.051269573565136006,-0.07396424597711412
OM,SHORT,2025-06-05,2025-07-05,0.2928,0.20364,0.2925072,0.20384363999999996,10.0,0.30311582073877175,0.009,3.0221582073877173,0.06938159288954254,3.09153980027726
BERA,SHORT,2025-06-05,2025-07-05,2.2742,1.6246,2.2719258,1.6262245999999998,10.0,0.28420875364855674,0.009,2.8330875364855674,-0.25323615208740535,2.579851384398162
USUAL,SHORT,2025-06-05,2025-07-05,0.09746,0.06623,0.09736254000000001,0.06629622999999998,10.0,0.3190786723518103,0.009,3.1817867235181034,-0.2217555860279528,2.9600311374901507
APT,LONG,2025-06-06,2025-07-06,4.6007,4.4528,4.605300699999999,4.4483472,10.0,-0.03408105359982234,0.009,-0.34981053599822337,-0.012266477047785395,-0.36207701304600876
PROMPT,LONG,2025-06-06,2025-07-06,0.17532,0.1295,0.17549531999999998,0.1293705,10.0,-0.26282649588604406,0.009,-2.6372649588604404,0.04069861065730984,-2.5965663482031305
GMX,LONG,2025-06-06,2025-07-06,15.065,13.998,15.080064999999998,13.984001999999998,10.0,-0.07268290952326792,0.009,-0.7358290952326793,-0.04810992391412107,-0.7839390191468003
WCT,SHORT,2025-06-06,2025-07-06,0.41186,0.30371,0.41144814,0.30401370999999994,10.0,0.26111293151063963,0.009,2.6021293151063962,-0.23142485002496305,2.3707044650814333
OM,SHORT,2025-06-06,2025-07-06,0.30029,0.21082,0.29998971,0.21103081999999998,10.0,0.2965398046486329,0.009,2.956398046486329,0.06643195707286094,3.02283000355919
LDO,SHORT,2025-06-06,2025-07-06,0.76428,0.7357,0.76351572,0.7364356999999999,10.0,0.03546753431612396,0.009,0.3456753431612396,0.10021451083963274,0.44588985400087233
BTC,LONG,2025-06-07,2025-07-07,105672.0,108062.0,105777.67199999999,107953.938,10.0,0.020573963851274808,0.009,0.19673963851274806,0.07097194514278024,0.2677115836555283
ADA,LONG,2025-06-07,2025-07-07,0.66391,0.57981,0.6645739099999999,0.5792301900000001,10.0,-0.12841870364727348,0.009,-1.2931870364727347,0.07500098696811618,-1.2181860495046186
BNB,LONG,2025-06-07,2025-07-07,651.54,661.11,652.1915399999999,660.44889,10.0,0.012660927800443545,0.009,0.11760927800443545,0.00052039609357705,0.1181296740980125
OM,SHORT,2025-06-07,2025-07-07,0.30339,0.20648,0.30308661,0.20668647999999998,10.0,0.31806132907026147,0.009,3.1716132907026147,0.06493627190584238,3.236549562608457
MAVIA,SHORT,2025-06-07,2025-07-07,0.16057,0.13081,0.16040943,0.13094081,10.0,0.18370877572471894,0.009,1.8280877572471894,0.10658001266864423,1.9346677699158337
AI16Z,SHORT,2025-06-07,2025-07-07,0.21458,0.15015,0.21436542,0.15030015,10.0,0.29886009599869234,0.009,2.9796009599869238,0.07291385308012832,3.0525148130670523
VVV,LONG,2025-06-08,2025-07-08,3.0218,2.7609,3.0248217999999993,2.7581390999999997,10.0,-0.08816476395402852,0.009,-0.8906476395402851,-0.18965235707518374,-1.080299996615469
