time,coin,dir,px,sz,ntl,fee,closedPnl
12/23/2025 - 15:57:14,ETH,Open Long,2904.3,0.0035,10.16505,0.004574,-0.004574
12/23/2025 - 16:06:26,ETH,Close Long,2918.6,0.0035,10.2151,0.004596,0.045453999999999994
12/23/2025 - 19:03:20,BTC,Open Long,87324,0.00012,10.47888,0.004715,-0.004715
12/23/2025 - 19:03:23,TRX,Open Long,0.28267,36,10.17612,0.004579,-0.004579
12/23/2025 - 19:03:26,BNB,Open Long,839.12,0.012,10.06944,0.004531,-0.004531
12/23/2025 - 19:03:29,TNSR,Open Short,0.07971,125.4,9.995634,0.004498,-0.004498
12/23/2025 - 19:03:32,ME,Open Short,0.19667,50.9,10.010503,0.004504,-0.004504
12/23/2025 - 19:03:35,ICP,Open Short,2.9777,3.4,10.124179999999999,0.004555,-0.004555
12/23/2025 - 19:48:21,ETC,Open Long,12.12,0.83,10.0596,0.004526,-0.004526
12/23/2025 - 19:48:24,XLM,Open Long,0.21689,47,10.19383,0.004587,-0.004587
12/23/2025 - 19:48:27,AVAX,Open Long,12.131,0.83,10.06873,0.00453,-0.00453
12/23/2025 - 19:48:30,ME,Open Short,0.19902,50.3,10.010705999999999,0.004504,-0.004504
12/23/2025 - 19:48:33,TNSR,Open Short,0.08135,123,10.00605,0.004502,-0.004502
12/23/2025 - 19:48:36,HMSTR,Open Short,0.000207,48310,10.000169999999999,0.0045,-0.0045
12/23/2025 - 19:54:08,TNSR,Close Short,0.08094,128.2,10.376508,0.004669,0.058149
12/23/2025 - 19:55:12,ME,Close Short,0.19935,51.4,10.24659,0.00461,0.096134
12/23/2025 - 19:57:09,BTC,Close Long,87955,0.00012,10.5546,0.004749,0.001947
12/23/2025 - 19:57:38,TRX,Close Long,0.28276,36,10.17936,0.00458,-0.03284
12/23/2025 - 19:58:02,BNB,Close Long,844.69,0.012,10.136280000000001,0.004561,-0.058681000000000004
12/23/2025 - 19:59:06,ICP,Close Short,3.0212,3.4,10.272079999999999,0.004622,-0.055656000000000004
12/24/2025 - 19:03:19,BTC,Open Long,87287,0.00012,10.47444,0.004713,-0.004713
12/24/2025 - 19:03:21,ATOM,Open Long,1.9428,5.15,10.00542,0.004502,-0.004502
12/24/2025 - 19:03:24,TON,Open Long,1.4834,6.8,10.08712,0.004539,-0.004539
12/24/2025 - 19:03:27,ME,Open Short,0.19934,50.2,10.006868,0.004503,-0.004503
12/24/2025 - 19:03:29,TNSR,Open Short,0.07907,126.5,10.002355,0.004501,-0.004501
12/24/2025 - 19:03:32,ZEC,Open Short,435.33,0.03,13.059899999999999,0.005876,-0.005876
12/25/2025 - 19:03:12,BTC,Open Long,88225,0.00012,10.587,0.004764,-0.004764
12/25/2025 - 19:03:15,TON,Open Long,1.5029,6.7,10.069429999999999,0.004531,-0.004531
12/25/2025 - 19:03:18,BNB,Open Long,841.04,0.012,10.09248,0.004541,-0.004541
12/25/2025 - 19:03:20,MOVE,Open Short,0.03798,264,10.02672,0.004512,-0.004512
