time,symbol,side,price,notional,qty,fee,realized_pnl,reason,action,prediction,signal_date,max_leverage,margin_mode
2025-10-10 19:00:00+00:00,AVNT,-1,0.78395,10.0,-12.75591555583902,0.0045,0.0,daily_prediction,open,0.1552185656010658,2025-10-10,5.0,isolated
2025-10-10 19:00:00+00:00,BIGTIME,1,0.044666,10.0,223.88393856624728,0.0045,0.0,daily_prediction,open,0.8164643746954338,2025-10-10,5.0,isolated
2025-10-10 19:00:00+00:00,BTC,1,117179.0,10.0,8.533952329342288e-05,0.0045,0.0,daily_prediction,open,0.8362213377443519,2025-10-10,40.0,isolated
2025-10-10 19:00:00+00:00,CAKE,-1,3.3617,10.0,-2.974685427016093,0.0045,0.0,daily_prediction,open,0.1577266581842127,2025-10-10,5.0,isolated
2025-10-10 19:00:00+00:00,LTC,1,126.48,10.0,0.07906388361796331,0.0045,0.0,daily_prediction,open,0.8760172324698116,2025-10-10,10.0,isolated
2025-10-10 19:00:00+00:00,TST,-1,0.029468,10.0,-339.3511605809692,0.0045,0.0,daily_prediction,open,0.1138857903636359,2025-10-10,5.0,isolated
2025-10-11 19:00:00+00:00,BNB,1,1173.3,10.0,0.008522969402539845,0.0045,0.0,daily_prediction,open,0.8736949463432129,2025-10-11,10.0,isolated
2025-10-11 19:00:00+00:00,BTC,1,111923.0,10.0,8.934714044477007e-05,0.0045,0.0,daily_prediction,merge_same_side,0.8606959823379368,2025-10-11,40.0,isolated
2025-10-11 19:00:00+00:00,SOL,1,182.43,10.0,0.05481554568875733,0.0045,0.0,daily_prediction,open,0.8305041710485288,2025-10-11,20.0,isolated
2025-10-11 19:00:00+00:00,STRK,-1,0.11621,10.0,-86.05111436193098,0.0045,0.0,daily_prediction,open,0.1668789845158496,2025-10-11,5.0,isolated
2025-10-11 19:00:00+00:00,TST,-1,0.022826,10.0,-438.09690703583635,0.0045,0.0,daily_prediction,merge_same_side,0.1664762221294249,2025-10-11,5.0,isolated
2025-10-11 19:00:00+00:00,WLD,-1,0.92239,10.0,-10.84140114268368,0.0045,0.0,daily_prediction,open,0.1855475362066977,2025-10-11,10.0,isolated
2025-10-12 19:00:00+00:00,AVNT,-1,0.6819,10.0,-14.664906877841327,0.0045,0.0,daily_prediction,merge_same_side,0.1294600268217619,2025-10-12,5.0,isolated
2025-10-12 19:00:00+00:00,BNB,1,1300.2,10.0,0.0076911244423934775,0.0045,0.0,daily_prediction,merge_same_side,0.8959697010399812,2025-10-12,10.0,isolated
2025-10-12 19:00:00+00:00,BTC,1,113861.0,10.0,8.782638480252238e-05,0.0045,0.0,daily_prediction,merge_same_side,0.8755200980173405,2025-10-12,40.0,isolated
2025-10-12 19:00:00+00:00,SNX,-1,1.6139,10.0,-6.196170766466325,0.0045,0.0,daily_prediction,open,0.1226688253220428,2025-10-12,5.0,isolated
2025-10-12 19:00:00+00:00,XRP,1,2.5118,10.0,3.98120869495979,0.0045,0.0,daily_prediction,open,0.9183578523371672,2025-10-12,20.0,isolated
2025-10-12 19:00:00+00:00,YGG,-1,0.13198,10.0,-75.76905591756328,0.0045,0.0,daily_prediction,open,0.1668377773628292,2025-10-12,5.0,isolated
2025-10-13 19:00:00+00:00,BNB,1,1266.1,10.0,0.007898270278808942,0.0045,0.0,daily_prediction,merge_same_side,0.9204462786209682,2025-10-13,10.0,isolated
2025-10-13 19:00:00+00:00,BTC,1,115115.0,10.0,8.686965208704339e-05,0.0045,0.0,daily_prediction,merge_same_side,0.8989365040047177,2025-10-13,40.0,isolated
2025-10-13 19:00:00+00:00,ETH,1,4226.9,10.0,0.0023657999952684003,0.0045,0.0,daily_prediction,open,0.8783334118577301,2025-10-13,25.0,isolated
2025-10-13 19:00:00+00:00,ETHFI,-1,1.3006,10.0,-7.6887590342918655,0.0045,0.0,daily_prediction,open,0.1516511296693583,2025-10-13,5.0,isolated
2025-10-13 19:00:00+00:00,ZEREBRO,-1,0.042867,10.0,-233.27967900716166,0.0045,0.0,daily_prediction,open,0.1453850245681654,2025-10-13,5.0,isolated
2025-10-13 19:00:00+00:00,ZORA,-1,0.091498,10.0,-109.29200638265318,0.0045,0.0,daily_prediction,open,0.152476244850085,2025-10-13,5.0,isolated
2025-10-14 19:00:00+00:00,ALGO,1,0.20376,10.0,49.07734589713388,0.0045,0.0,daily_prediction,open,0.8549049085920218,2025-10-14,5.0,isolated
2025-10-14 19:00:00+00:00,AVNT,-1,0.61228,10.0,-16.33239694257529,0.0045,0.0,daily_prediction,merge_same_side,0.1380054424559723,2025-10-14,5.0,isolated
2025-10-14 19:00:00+00:00,HBAR,1,0.18688,10.0,53.51027397260274,0.0045,0.0,daily_prediction,open,0.8934536690044479,2025-10-14,5.0,isolated
2025-10-14 19:00:00+00:00,MERL,-1,0.32879,10.0,-30.414550320873502,0.0045,0.0,daily_prediction,open,0.1852616164059792,2025-10-14,5.0,isolated
