signal_date,symbol,side,prediction,reason
2025-06-20,ZEREBRO,-1,0.1080156676392181,no_price_inside_entry_window
2025-06-21,BNB,1,0.9709049400146198,no_price_inside_entry_window
2025-06-21,BTC,1,0.9361627181277828,no_price_inside_entry_window
2025-06-21,XAI,-1,0.0432929985388982,no_price_inside_entry_window
2025-06-21,AR,-1,0.1126317555160885,no_price_inside_entry_window
2025-06-22,BSV,1,0.8178903028436753,no_price_inside_entry_window
2025-06-22,SEI,1,0.8135844195526948,no_price_inside_entry_window
2025-06-22,OM,-1,0.066359475986028,no_price_inside_entry_window
2025-06-22,ALT,-1,0.1046623201411788,no_price_inside_entry_window
2025-06-22,USUAL,-1,0.1137871517647703,no_price_inside_entry_window
2025-06-23,BTC,1,0.8187184550815257,no_price_inside_entry_window
2025-06-23,LTC,1,0.8169820502167331,no_price_inside_entry_window
2025-06-23,OM,-1,0.0714178240913074,no_price_inside_entry_window
2025-06-23,USUAL,-1,0.0935333463710446,no_price_inside_entry_window
2025-06-23,XAI,-1,0.1447997829871549,no_price_inside_entry_window
2025-06-24,RSR,1,0.8810854261895099,no_price_inside_entry_window
2025-06-24,LINK,1,0.8452242251329156,no_price_inside_entry_window
2025-06-24,SOL,1,0.827942152331804,no_price_inside_entry_window
2025-06-24,AIXBT,-1,0.0899542131947324,no_price_inside_entry_window
2025-06-24,OM,-1,0.1753561056432914,no_price_inside_entry_window
2025-06-25,ALGO,1,0.8599829160824842,no_price_inside_entry_window
2025-06-25,LINK,1,0.8383974223621528,no_price_inside_entry_window
2025-06-25,kFLOKI,1,0.8354548830821683,no_price_inside_entry_window
2025-06-25,OM,-1,0.0935451130349989,no_price_inside_entry_window
2025-06-25,USUAL,-1,0.0970918107771866,no_price_inside_entry_window
2025-06-25,ALT,-1,0.1021325645879389,no_price_inside_entry_window
2025-06-26,BSV,1,0.9109405435707876,no_price_inside_entry_window
2025-06-26,ONDO,1,0.9075357989386148,no_price_inside_entry_window
2025-06-26,USUAL,-1,0.0861845247066488,no_price_inside_entry_window
2025-06-26,ALT,-1,0.1222878525698746,no_price_inside_entry_window
2025-06-26,XAI,-1,0.1259866530614847,no_price_inside_entry_window
2025-06-27,ETH,1,0.8762474757309648,no_price_inside_entry_window
2025-06-27,FET,1,0.871552059432184,no_price_inside_entry_window
2025-06-27,USUAL,-1,0.0853588175967489,no_price_inside_entry_window
2025-06-27,ALT,-1,0.1027697670244189,no_price_inside_entry_window
2025-06-27,OM,-1,0.1101493917499627,no_price_inside_entry_window
2025-06-28,SOL,1,0.8617164815065228,no_price_inside_entry_window
2025-06-28,SUI,1,0.8463672211637725,no_price_inside_entry_window
