time,signal_date,symbol,side,prediction,price,notional
2025-10-20 19:00:00+00:00,2025-10-20,YGG,-1,0.1352258616914375,0.14469,10.0
2025-10-21 19:00:00+00:00,2025-10-21,ALGO,1,0.8863662866100316,0.1897,10.0
2025-10-21 19:00:00+00:00,2025-10-21,AVNT,-1,0.1436872271708339,0.64852,10.0
2025-10-21 19:00:00+00:00,2025-10-21,BTC,1,0.9454579495799535,111940.0,10.0
2025-10-21 19:00:00+00:00,2025-10-21,FET,-1,0.1003825832158442,0.25904,10.0
2025-10-21 19:00:00+00:00,2025-10-21,FTT,-1,0.1708488877021431,0.80034,10.0
2025-10-21 19:00:00+00:00,2025-10-21,XLM,1,0.8655685314140922,0.32791,10.0
2025-10-22 19:00:00+00:00,2025-10-22,BTC,1,0.971876715356234,107978.0,10.0
2025-10-22 19:00:00+00:00,2025-10-22,FET,-1,0.0988998281722057,0.23701,10.0
2025-10-22 19:00:00+00:00,2025-10-22,POLYX,1,0.9108914163341172,0.083156,10.0
2025-10-22 19:00:00+00:00,2025-10-22,SNX,-1,0.1014091531983267,1.3234,10.0
2025-10-22 19:00:00+00:00,2025-10-22,TRX,1,0.93119980738043,0.32054,10.0
2025-10-22 19:00:00+00:00,2025-10-22,TST,-1,0.1217569722041316,0.019894,10.0
2025-10-23 19:00:00+00:00,2025-10-23,ALGO,1,0.8852682621837937,0.18374,10.0
2025-10-23 19:00:00+00:00,2025-10-23,BTC,1,0.9623047425569224,110596.0,10.0
2025-10-23 19:00:00+00:00,2025-10-23,SNX,-1,0.0506930404180486,1.278,10.0
2025-10-23 19:00:00+00:00,2025-10-23,TRX,1,0.9740307554422226,0.31511,10.0
2025-10-23 19:00:00+00:00,2025-10-23,TST,-1,0.1098537541285949,0.020027,10.0
2025-10-23 19:00:00+00:00,2025-10-23,ZEN,-1,0.1116818644239544,10.718,10.0
2025-10-24 19:00:00+00:00,2025-10-24,ADA,1,0.878321922910925,0.65082,10.0
2025-10-24 19:00:00+00:00,2025-10-24,BTC,1,0.9372048343927444,110656.0,10.0
2025-10-24 19:00:00+00:00,2025-10-24,FARTCOIN,-1,0.15594199277259,0.37255,10.0
2025-10-24 19:00:00+00:00,2025-10-24,GAS,1,0.91896344695543,2.6046,10.0
2025-10-24 19:00:00+00:00,2025-10-24,SNX,-1,0.0886509484073356,1.2939,10.0
2025-10-24 19:00:00+00:00,2025-10-24,SPX,-1,0.1539472526455296,1.0081,10.0
2025-10-25 19:00:00+00:00,2025-10-25,AVNT,-1,0.1530956237725263,0.7402,10.0
2025-10-25 19:00:00+00:00,2025-10-25,BRETT,-1,0.1017548783410896,0.027646,10.0
2025-10-25 19:00:00+00:00,2025-10-25,ETH,1,0.926063206800932,3960.1,10.0
2025-10-25 19:00:00+00:00,2025-10-25,SNX,-1,0.1498188476647622,1.2329,10.0
2025-10-25 19:00:00+00:00,2025-10-25,XLM,1,0.9117727170799133,0.32823,10.0
2025-10-25 19:00:00+00:00,2025-10-25,XRP,1,0.939141080162536,2.6414,10.0
2025-10-26 19:00:00+00:00,2025-10-26,AVNT,-1,0.1793869043851363,0.78586,10.0
2025-10-26 19:00:00+00:00,2025-10-26,BTC,1,0.956354383826586,113630.0,10.0
2025-10-26 19:00:00+00:00,2025-10-26,FET,-1,0.1299125927641485,0.27569,10.0
2025-10-26 19:00:00+00:00,2025-10-26,LTC,1,0.906938723304346,99.15,10.0
2025-10-26 19:00:00+00:00,2025-10-26,SNX,-1,0.0915747127355064,1.2368,10.0
2025-10-26 19:00:00+00:00,2025-10-26,XLM,1,0.9423651784358792,0.32835,10.0
2025-10-27 19:00:00+00:00,2025-10-27,BANANA,-1,0.1577711333766224,13.92,10.0
2025-10-27 19:00:00+00:00,2025-10-27,BTC,1,0.9222943164824944,115364.0,10.0
2025-10-27 19:00:00+00:00,2025-10-27,ETH,1,0.9578859523276518,4216.0,10.0
2025-10-27 19:00:00+00:00,2025-10-27,HBAR,1,0.868317975973357,0.18339,10.0
2025-10-27 19:00:00+00:00,2025-10-27,MAVIA,-1,0.0863597432037148,0.23786,10.0
2025-10-27 19:00:00+00:00,2025-10-27,SNX,-1,0.0618199984333409,1.172,10.0
2025-10-28 19:00:00+00:00,2025-10-28,BTC,1,0.9471279983424452,115036.0,10.0
2025-10-28 19:00:00+00:00,2025-10-28,ETH,1,0.9352869378130414,4114.5,10.0
2025-10-28 19:00:00+00:00,2025-10-28,MERL,-1,0.1487603797837816,0.30451,10.0
2025-10-28 19:00:00+00:00,2025-10-28,SNX,-1,0.0922362388218302,1.1449,10.0
2025-10-28 19:00:00+00:00,2025-10-28,TST,-1,0.1046716453803235,0.020296,10.0
2025-10-28 19:00:00+00:00,2025-10-28,XRP,1,0.9162038017835296,2.6709,10.0
2025-10-29 19:00:00+00:00,2025-10-29,BTC,1,0.9589790820858748,110859.0,10.0
2025-10-29 19:00:00+00:00,2025-10-29,MERL,-1,0.097740851032516,0.33702,10.0
2025-10-29 19:00:00+00:00,2025-10-29,POLYX,1,0.8802523791010278,0.085162,10.0
2025-10-29 19:00:00+00:00,2025-10-29,SNX,-1,0.0904276271924027,1.1517,10.0
2025-10-29 19:00:00+00:00,2025-10-29,XRP,1,0.9177854562964244,2.6075,10.0
