day,time,token,side,amount,notional_liquidated,qty_closed,entry_price,liquidation_price,fee,opened_at,holding_hours
2025-10-15,2025-10-15 05:00:00+00:00,YGG,short,-8.186391998289475,18.186391998289476,75.76905591756328,0.13198,0.24002400159342446,0.0,2025-10-12 19:00:00+00:00,58.0
2025-11-01,2025-11-01 03:00:00+00:00,ZEC,short,-8.159454966317089,18.15945496631709,0.04179553623672992,239.26,434.4831195241026,0.0,2025-10-14 19:00:00+00:00,416.0
2025-11-01,2025-11-01 07:00:00+00:00,ZEN,short,-8.184441868453993,18.184441868453995,0.933009889904833,10.718,19.49008479460899,0.0,2025-10-23 19:00:00+00:00,204.0
2025-11-08,2025-11-08 12:00:00+00:00,0G,short,-5.03963860501587,15.03963860501587,9.318796011555307,1.0731,1.613903618704253,0.0,2025-11-01 19:00:00+00:00,161.0
2025-11-10,2025-11-10 09:00:00+00:00,STRK,short,-8.089731977805927,18.089731977805926,86.05111436193098,0.11621,0.21022077531408268,0.0,2025-10-11 19:00:00+00:00,710.0
2025-11-16,2025-11-16 12:00:00+00:00,STRK,short,-8.191625247788172,18.19162524778817,75.35795026375281,0.1327,0.2414028670381491,0.0,2025-11-13 19:00:00+00:00,65.0
2025-11-20,2025-11-20 12:00:00+00:00,DYM,short,-24.030585806048897,54.0305858060489,321.22568268249825,0.09339228342352754,0.16820132610459143,0.0,2025-11-06 19:00:00+00:00,329.0
2026-01-13,2026-01-13 13:00:00+00:00,IP,short,-31.538225914068494,71.5382259140685,21.79789945982494,1.835039200622189,3.2818862223820453,0.0,2025-12-26 19:00:00+00:00,426.0
2026-01-26,2026-01-26 08:00:00+00:00,RESOLV,short,-6.871182312802652,16.871182312802652,127.7596075224857,0.078272,0.13205411819876892,0.0,2026-01-15 19:00:00+00:00,253.0
2026-02-11,2026-02-11 21:00:00+00:00,BERA,short,-76.44107084080566,176.44107084080568,188.4956724218336,0.5305161583562007,0.9360483907871848,0.0,2026-01-22 19:00:00+00:00,482.0
2026-02-15,2026-02-15 05:00:00+00:00,VVV,short,-71.09925405681166,161.09925405681167,44.49395338874593,2.02274675872619,3.6206999330735865,0.0,2026-01-30 19:00:00+00:00,370.0
2026-03-02,2026-03-02 15:00:00+00:00,VVV,short,-44.28297510888693,100.02884650381036,14.433873021736623,3.862156145545496,6.930145938873952,0.0,2026-02-15 19:00:00+00:00,356.0
2026-04-16,2026-04-16 00:00:00+00:00,BIO,short,-72.0227743433853,161.96742107743958,4372.565044897254,0.020570224984764705,0.03704174081217024,0.0,2026-01-13 19:00:00+00:00,2213.0
2026-04-17,2026-04-17 11:00:00+00:00,ZEREBRO,short,-1.4536923086753552e-15,3.569859106025516e-15,2.2737367544323206e-13,0.009307000000000001,0.015700406386388366,0.0,2025-10-13 19:00:00+00:00,4456.0
2026-05-02,2026-05-02 14:00:00+00:00,BIO,short,-32.669663231875596,72.6696632318756,1124.287981256231,0.03557807311548926,0.06463616479354128,0.0,2026-04-27 19:00:00+00:00,115.0
2026-05-03,2026-05-03 15:00:00+00:00,REZ,short,-7.011124668809749,16.91365878187018,2970.0029700029704,0.003334183235867446,0.005694828911855688,0.0,2026-01-03 19:00:00+00:00,2876.0
2026-05-07,2026-05-07 15:00:00+00:00,JTO,short,-76.69694701296335,175.05676183313463,332.0424193428582,0.2962266538559567,0.5272120417011408,0.0,2026-02-21 19:00:00+00:00,1796.0
2026-05-07,2026-05-07 18:00:00+00:00,NIL,short,-41.10117084153872,91.10117084153872,1243.1415032258399,0.040220682738251856,0.07328302579001619,0.0,2026-04-16 19:00:00+00:00,503.0
