opened_at,close_time,symbol,side_to_close,qty_to_close,prediction,signal_date,status,processed_time,exit_price,qty_closed_requested
2025-10-10 19:00:00+00:00,2025-11-09 19:00:00+00:00,AVNT,-1,12.75591555583902,0.1552185656010658,2025-10-10,executed,2025-11-09 19:00:00+00:00,0.54523,12.75591555583902
2025-10-10 19:00:00+00:00,2025-11-09 19:00:00+00:00,BIGTIME,1,223.88393856624728,0.8164643746954338,2025-10-10,executed,2025-11-09 19:00:00+00:00,0.030845,223.88393856624728
2025-10-10 19:00:00+00:00,2025-11-09 19:00:00+00:00,BTC,1,8.533952329342288e-05,0.8362213377443519,2025-10-10,executed,2025-11-09 19:00:00+00:00,104519.0,8.533952329342288e-05
2025-10-10 19:00:00+00:00,2025-11-09 19:00:00+00:00,CAKE,-1,2.974685427016093,0.1577266581842127,2025-10-10,executed,2025-11-09 19:00:00+00:00,2.5433,2.974685427016093
2025-10-10 19:00:00+00:00,2025-11-09 19:00:00+00:00,LTC,1,0.07906388361796331,0.8760172324698116,2025-10-10,executed,2025-11-09 19:00:00+00:00,108.7,0.07906388361796331
2025-10-10 19:00:00+00:00,2025-11-09 19:00:00+00:00,TST,-1,339.3511605809692,0.1138857903636359,2025-10-10,executed,2025-11-09 19:00:00+00:00,0.018737,339.3511605809692
2025-10-11 19:00:00+00:00,2025-11-10 19:00:00+00:00,BNB,1,0.008522969402539845,0.8736949463432129,2025-10-11,executed,2025-11-10 19:00:00+00:00,981.94,0.008522969402539845
2025-10-11 19:00:00+00:00,2025-11-10 19:00:00+00:00,BTC,1,8.934714044477007e-05,0.8606959823379368,2025-10-11,executed,2025-11-10 19:00:00+00:00,105502.0,8.934714044477007e-05
2025-10-11 19:00:00+00:00,2025-11-10 19:00:00+00:00,SOL,1,0.05481554568875733,0.8305041710485288,2025-10-11,executed,2025-11-10 19:00:00+00:00,165.58,0.05481554568875733
2025-10-11 19:00:00+00:00,2025-11-10 19:00:00+00:00,STRK,-1,86.05111436193098,0.1668789845158496,2025-10-11,skipped_already_closed,2025-11-10 19:00:00+00:00,,
2025-10-11 19:00:00+00:00,2025-11-10 19:00:00+00:00,TST,-1,438.09690703583635,0.1664762221294249,2025-10-11,executed,2025-11-10 19:00:00+00:00,0.018248,438.09690703583635
2025-10-11 19:00:00+00:00,2025-11-10 19:00:00+00:00,WLD,-1,10.84140114268368,0.1855475362066977,2025-10-11,executed,2025-11-10 19:00:00+00:00,0.81238,10.84140114268368
2025-10-12 19:00:00+00:00,2025-11-11 19:00:00+00:00,AVNT,-1,14.664906877841327,0.1294600268217619,2025-10-12,executed,2025-11-11 19:00:00+00:00,0.52415,14.664906877841327
2025-10-12 19:00:00+00:00,2025-11-11 19:00:00+00:00,BNB,1,0.0076911244423934775,0.8959697010399812,2025-10-12,executed,2025-11-11 19:00:00+00:00,967.3,0.0076911244423934775
2025-10-12 19:00:00+00:00,2025-11-11 19:00:00+00:00,BTC,1,8.782638480252238e-05,0.8755200980173405,2025-10-12,executed,2025-11-11 19:00:00+00:00,103377.0,8.782638480252238e-05
