time,symbol,side_closed,qty_closed,entry_price,exit_price,realized_pnl,fee,net_pnl_after_allocated_fee,reason,opened_at,holding_hours,released_isolated_margin,margin_mode
2025-10-15 05:00:00+00:00,YGG,-1,75.76905591756328,0.13198,0.24002400159342446,-8.186391998289475,0.0,-8.186391998289475,liquidation,2025-10-12 19:00:00+00:00,58.0,10.005031198118424,isolated
2025-11-01 03:00:00+00:00,ZEC,-1,0.04179553623672992,239.26,434.4831195241026,-8.159454966317089,0.0,-8.159454966317089,liquidation,2025-10-14 19:00:00+00:00,416.0,9.975400462948798,isolated
2025-11-01 07:00:00+00:00,ZEN,-1,0.933009889904833,10.718,19.49008479460899,-8.184441868453993,0.0,-8.184441868453993,liquidation,2025-10-23 19:00:00+00:00,204.0,10.002886055299395,isolated
2025-11-08 12:00:00+00:00,0G,-1,9.318796011555307,1.0731,1.613903618704253,-5.03963860501587,0.0,-5.03963860501587,liquidation,2025-11-01 19:00:00+00:00,161.0,6.543602465517459,isolated
2025-11-09 19:00:00+00:00,AVNT,-1,12.75591555583902,0.7025126121645932,0.54523,2.006283719173329,0.0031297085273295487,2.0031540106459995,time_exit_30d,2025-10-10 19:00:00+00:00,720.0,,isolated
2025-11-09 19:00:00+00:00,BIGTIME,1,223.88393856624728,0.044666,0.030845,-3.094299914924103,0.003107565038284154,-3.097407479962387,time_exit_30d,2025-10-10 19:00:00+00:00,720.0,,isolated
2025-11-09 19:00:00+00:00,BTC,1,8.533952329342288e-05,109318.95911580602,104519.0,-0.40962622277080546,0.00401382073579737,-0.41364004350660283,time_exit_30d,2025-10-10 19:00:00+00:00,720.0,,isolated
2025-11-09 19:00:00+00:00,CAKE,-1,2.974685427016093,3.1360001872896954,2.5433,1.7630966097203664,0.003404482850938513,1.7596921268694279,time_exit_30d,2025-10-10 19:00:00+00:00,720.0,,isolated
2025-11-09 19:00:00+00:00,LTC,1,0.07906388361796331,103.71085777327738,108.7,0.3944609603670636,0.0038674098671726753,0.3905935504998909,time_exit_30d,2025-10-10 19:00:00+00:00,720.0,,isolated
2025-11-09 19:00:00+00:00,TST,-1,339.3511605809692,0.019629231417985133,0.018737,0.30277976720005867,0.0028612902131125288,0.2999184769869461,time_exit_30d,2025-10-10 19:00:00+00:00,720.0,,isolated
2025-11-10 09:00:00+00:00,STRK,-1,86.05111436193098,0.11621,0.21022077531408268,-8.089731977805927,0.0,-8.089731977805927,liquidation,2025-10-11 19:00:00+00:00,710.0,9.89870517558652,isolated
2025-11-10 19:00:00+00:00,BNB,1,0.008522969402539845,1134.1226341900972,981.94,-1.297047934800112,0.003766070058808489,-1.3008140048589205,time_exit_30d,2025-10-11 19:00:00+00:00,720.0,,isolated
2025-11-10 19:00:00+00:00,BTC,1,8.934714044477008e-05,109119.04698055866,105502.0,-0.3231728045673063,0.004241835905041859,-0.32741464047234814,time_exit_30d,2025-10-10 19:00:00+00:00,744.0,,isolated
2025-11-10 19:00:00+00:00,SOL,1,0.05481554568875733,177.82264360740982,165.58,-0.671087190013145,0.004084361124814998,-0.67517155113796,time_exit_30d,2025-10-11 19:00:00+00:00,720.0,,isolated
2025-11-10 19:00:00+00:00,TST,-1,438.09690703583635,0.019629231417985133,0.018248,0.6051132121200091,0.003597476561815474,0.6015157355581936,time_exit_30d,2025-10-10 19:00:00+00:00,744.0,,isolated
2025-11-10 19:00:00+00:00,WLD,-1,10.841401142683678,0.92239,0.81238,1.192662539706632,0.0039633018571320145,1.1886992378494998,time_exit_30d,2025-10-11 19:00:00+00:00,720.0,,isolated
2025-11-11 19:00:00+00:00,AVNT,-1,14.664906877841327,0.7025126121645932,0.52415,2.615671097882287,0.003458974923009239,2.612212122959278,time_exit_30d,2025-10-10 19:00:00+00:00,768.0,,isolated
2025-11-11 19:00:00+00:00,BNB,1,0.0076911244423934775,1134.1226341900972,967.3,-1.2830536393639227,0.0033478311029072447,-1.2864014704668298,time_exit_30d,2025-10-11 19:00:00+00:00,744.0,,isolated
2025-11-11 19:00:00+00:00,BTC,1,8.782638480252238e-05,108970.15767233599,103377.0,-0.49122681799176104,0.00408565268177866,-0.49531247067353973,time_exit_30d,2025-10-10 19:00:00+00:00,768.0,,isolated
2025-11-11 19:00:00+00:00,SNX,-1,6.196170766466324,1.2207880662395434,0.7973,2.624004375980813,0.00222309312844662,2.6217812828523663,time_exit_30d,2025-10-12 19:00:00+00:00,720.0,,isolated
2025-11-11 19:00:00+00:00,XRP,1,3.98120869495979,2.4611297317038536,2.4241,-0.1474230898314097,0.004342881598853412,-0.1517659714302631,time_exit_30d,2025-10-12 19:00:00+00:00,720.0,,isolated
2025-11-11 19:00:00+00:00,YGG,-1,75.76905591756328,0.1228804889533721,0.11654,0.48041286205274253,0.003973556599484771,0.47643930545325774,time_exit_30d,2025-10-20 19:00:00+00:00,528.0,,isolated
2025-11-12 19:00:00+00:00,BNB,1,0.007898270278808942,1134.1226341900972,950.38,-1.4512489865737084,0.003377861148408499,-1.454626847722117,time_exit_30d,2025-10-11 19:00:00+00:00,768.0,,isolated
2025-11-12 19:00:00+00:00,BTC,1,8.686965208704338e-05,108736.09803004065,101507.0,-0.627989230772762,0.00396804499847978,-0.6319572757712418,time_exit_30d,2025-10-10 19:00:00+00:00,792.0,,isolated
2025-11-12 19:00:00+00:00,ETH,1,0.0023657999952684003,3890.434171221962,3422.3,-1.1075118200618939,0.003643414795713171,-1.111155234857607,time_exit_30d,2025-10-13 19:00:00+00:00,720.0,,isolated
2025-11-12 19:00:00+00:00,ETHFI,-1,7.688759034291865,1.0280579107670131,0.92298,0.8079187357143864,0.0031934568660618176,0.8047252788483246,time_exit_30d,2025-10-13 19:00:00+00:00,720.0,,isolated
2025-11-12 19:00:00+00:00,ZEREBRO,-1,233.27967900716166,0.04092897223065645,0.0324,1.9896359042285334,0.0034012177199244167,1.986234686508609,time_exit_30d,2025-10-13 19:00:00+00:00,720.0,,isolated
