time,cash_collateral,account_equity,portfolio_margin_value,posted_initial_margin_open,maintenance_margin_required,margin_ratio,unrealized_pnl_total,unrealized_pnl_long,unrealized_pnl_short,realized_pnl_total,realized_pnl_long,realized_pnl_short,funding_pnl_total,fees_total,n_open_positions,long_exposure,short_exposure,gross_exposure,net_exposure,gross_leverage_on_equity,date,daily_return,long_pnl,short_pnl,total_pnl
2025-10-10 23:00:00+00:00,1939.973,2003.3879095019038,63.414909501903736,59.95158429387996,3.2496818237639045,0.0016220931594679848,3.463325208023778,-6.034809907059903,9.49813511508368,0.0,0.0,0.0,-0.04841570612003426,0.027,6,23.965190092940095,20.50186488491632,44.467054977856414,3.4633252080237753,0.022195928590240978,2025-10-10,,-6.034809907059903,9.49813511508368,3.3879095019037777
2025-10-11 23:00:00+00:00,1879.946,2000.3281822310394,120.38218223103937,119.9055218390384,6.754824468253543,0.003376858121710628,0.4766603920009729,-7.118361063056217,7.59502145505719,0.0,0.0,0.0,-0.09447816096159121,0.053999999999999986,10,52.88163893694378,52.40497854494281,105.2866174818866,0.4766603920009729,0.052634671858922955,2025-10-11,-0.001527276498152097,-7.118361063056217,7.59502145505719,0.3281822310393636
2025-10-12 23:00:00+00:00,1821.7400573400369,1988.3326204531024,166.59256311306564,169.82955188370406,10.958129800641332,0.005511215622537132,-3.236988770638406,-0.10394605795117817,-3.133042712687228,-8.210573400369164,0.0,-8.210573400369164,-0.13881737588985218,0.081,12,89.89605394204882,83.13304271268723,173.02909665473607,6.763011229361595,0.08702220889747617,2025-10-12,-0.005996796867880905,-0.10394605795117817,-11.343616113056392,-11.667379546897564
2025-10-13 23:00:00+00:00,1761.7130573400368,1982.4567019587032,220.7436446186663,229.78337010657154,15.573757552070871,0.007855786982224488,-9.039725487905242,1.3826163538216352,-10.422341841726878,-8.210573400369164,0.0,-8.210573400369164,-0.184999153022389,0.10800000000000003,16,121.38261635382165,120.42234184172689,241.80495819554852,0.960274512094756,0.1219723779876962,2025-10-13,-0.0029551989611578122,1.3826163538216352,-18.63291524209604,-17.543298041296794
2025-10-14 23:00:00+00:00,1701.6860573400368,1984.82498659062,283.1389292505834,289.75630792443604,19.78634201394726,0.009968809415249613,-6.617378673852697,-4.1889470129773585,-2.4284316608753387,-8.210573400369164,0.0,-8.210573400369164,-0.21206133515797043,0.13500000000000004,20,145.81105298702263,142.42843166087536,288.239484647898,3.382621326147273,0.14522161228079541,2025-10-14,0.0011946211130748896,-4.1889470129773585,-10.639005061244502,-15.175013409379972
2025-10-15 23:00:00+00:00,1643.4772683717836,1984.705798972385,341.2285306006014,339.63312792312064,21.806330451003227,0.010987185336130837,1.5954026774807595,-9.62804686831609,11.22344954579685,-16.392683717837492,0.0,-16.392683717837492,-0.3349199872581065,0.16200000000000006,23,170.3719531316839,148.77655045420312,319.14850358588706,21.59540267748079,0.16080393565188936,2025-10-15,-6.004943460513612e-05,-9.62804686831609,-5.1692341720406425,-15.294201027614918
2025-10-16 23:00:00+00:00,1583.4502683717835,1985.5106327166122,402.06036434482877,399.44160229312877,26.458146595384473,0.013325613149290443,2.618762051700008,-14.697454822210501,17.31621687391051,-16.392683717837492,0.0,-16.392683717837492,-0.5264456172500469,0.18900000000000008,26,195.30254517778954,172.68378312608948,367.986328303879,22.61876205170006,0.18533586385301465,2025-10-16,0.0004055179083186644,-14.697454822210501,0.9235331560730167,-14.489367283387764
2025-10-17 23:00:00+00:00,1523.4232683717835,1984.4329853091858,461.00971693740223,458.8712941634971,30.10197298477233,0.015169054942957559,2.1384227739050914,-21.340732745512014,23.479155519417105,-16.392683717837492,0.0,-16.392683717837492,-1.096753746881653,0.2160000000000001,27,218.659267254488,196.52084448058287,415.18011173507085,22.13842277390512,0.2092185096743811,2025-10-17,-0.0005427557977626396,-21.340732745512014,7.086471801579613,-15.567014690814176
2025-10-18 23:00:00+00:00,1463.3962683717834,1990.7392673148333,527.34299894305,518.5906587779856,35.10408555757887,0.017633693238456222,8.752340165064439,-17.760628275488635,26.512968440553074,-16.392683717837492,0.0,-16.392683717837492,-1.3773891323931995,0.24300000000000013,28,252.23937172451136,223.4870315594469,475.72640328395823,28.752340165064453,0.23896971898566693,2025-10-18,0.003177876024200943,-17.760628275488635,10.120284722715581,-9.260732685166658
2025-10-19 23:00:00+00:00,1403.3692683717834,1978.9560763119725,575.5868079401891,578.4309026014762,41.560988958571535,0.02100147115747285,-2.844094661287034,-13.327092616533026,10.482997955245992,-16.392683717837492,0.0,-16.392683717837492,-1.537145308902642,0.27000000000000013,29,286.672907383467,269.517002044754,556.189909428221,17.155905338713012,0.2810521749753785,2025-10-19,-0.005919002652092331,-13.327092616533026,-5.909685762591501,-21.043923688027462
2025-10-20 23:00:00+00:00,1343.3422683717833,1973.8814210438081,630.539152672025,638.1535090671892,47.453716801661905,0.02404081435477918,-7.614356395164213,-8.826988844836427,1.2126324496722138,-16.392683717837492,0.0,-16.392683717837492,-1.8145388431897573,0.29700000000000015,33,321.1730111551636,308.78736755032776,629.9603787054914,12.38564360483582,0.3191480359404579,2025-10-20,-0.002564309197615744,-8.826988844836427,-15.180051268165279,-26.118578956191868
2025-10-21 23:00:00+00:00,1283.3152683717833,1986.1520188221289,702.8367504503457,696.3721647086473,49.60703414675174,0.024976453804462954,6.464585741698375,-18.551220770812268,25.015806512510643,-16.392683717837492,0.0,-16.392683717837492,-3.5958832017315343,0.3240000000000002,34,341.4487792291878,314.9841934874894,656.4329727166771,26.464585741698386,0.33050489916978726,2025-10-21,0.006216481723523071,-18.551220770812268,8.62312279467315,-13.847981177871134
2025-10-22 23:00:00+00:00,1223.2882683717833,1997.3380591120174,774.049790740234,754.5946402953674,52.338271989869256,0.026204012761434067,19.455150444866597,-22.176912031340187,41.632062476206784,-16.392683717837492,0.0,-16.392683717837492,-5.373407615011592,0.3510000000000002,34,367.8230879686598,328.36793752379316,696.191025492453,39.45515044486666,0.3485594350522554,2025-10-22,0.005632016171915444,-22.176912031340187,25.23937875836929,-2.6619408879826096
2025-10-23 23:00:00+00:00,1163.2612683717832,1991.541036727525,828.2797683557417,813.6307011387215,58.58135227393811,0.029415086706020502,14.649067217020209,-14.630919469986408,29.279986687006616,-16.392683717837492,0.0,-16.392683717837492,-6.337346771657509,0.3780000000000002,35,405.36908053001355,370.7200133129934,776.0890938430069,34.64906721702016,0.389692745231234,2025-10-23,-0.0029023741664792047,-14.630919469986408,12.887302969169124,-8.458963272475103
2025-10-24 23:00:00+00:00,1103.2342683717832,1974.1191860188026,870.8849176470194,872.9837767131884,64.97083572222712,0.03291130352329614,-2.0988590661689557,-10.896050402989163,8.797191336820207,-16.392683717837492,0.0,-16.392683717837492,-6.984271197190635,0.40500000000000025,39,439.1039495970109,421.2028086631798,860.3067582601907,17.90114093383113,0.43579271421558263,2025-10-24,-0.008747924540560614,-10.896050402989163,-7.595492381017285,-25.880813981197434
2025-10-25 23:00:00+00:00,1043.2072683717831,1982.9960009118254,939.7887325400422,931.7972732200589,68.55215977740882,0.034569993961605074,7.991459319983399,-9.59941877017626,17.59087809015966,-16.392683717837492,0.0,-16.392683717837492,-8.170774690320174,0.4320000000000003,40,470.4005812298238,442.40912190984034,912.8097031396642,27.99145931998345,0.4603184790690118,2025-10-25,0.004496595218713484,-9.59941877017626,1.1981943723221669,-17.003999088174623
2025-10-26 23:00:00+00:00,983.1802683717831,1974.9763380495278,991.7960696777452,990.5329876774699,75.85713485820247,0.03840913604722901,1.2630820002753156,3.850107726607723,-2.5870257263324072,-16.392683717837492,0.0,-16.392683717837492,-9.435060232909287,0.4590000000000003,40,513.8501077266077,492.5870257263324,1006.4371334529401,21.26308200027529,0.5095945273181804,2025-10-26,-0.004044215348195324,3.850107726607723,-18.9797094441699,-25.02366195047216
2025-10-27 23:00:00+00:00,923.153268371783,1993.1367244646044,1069.9834560928216,1049.5690591993744,77.32606607752115,0.03879616743216271,20.414396893447197,-1.7384301239518374,22.152827017399034,-16.392683717837492,0.0,-16.392683717837492,-10.398988711004625,0.4860000000000003,42,538.2615698760483,497.84717298260097,1036.1087428586493,40.414396893447304,0.5198382680631046,2025-10-27,0.009195242527822778,-1.7384301239518374,5.760143299561541,-6.863275535395587
2025-10-28 23:00:00+00:00,863.126268371783,2010.0907600290664,1146.964491657283,1108.8897107381956,77.78012975654623,0.038694834732448356,38.07478091908733,-11.26418841946962,49.33896933855695,-16.392683717837492,0.0,-16.392683717837492,-11.078337172183316,0.5130000000000002,42,558.7358115805303,500.6610306614432,1059.3968422419734,58.07478091908706,0.5270393075318919,2025-10-28,0.008506208006887395,-11.26418841946962,32.94628562071946,10.09076002906636
2025-10-29 23:00:00+00:00,803.099268371783,1998.6850632159021,1195.5857948441194,1168.3736226739536,82.6366013469055,0.04134548402235141,27.21217217016569,-16.454967255974022,43.66713942613971,-16.392683717837492,0.0,-16.392683717837492,-11.594425236425446,0.5399999999999999,42,583.545032744026,536.3328605738602,1119.8778933178862,47.212172170165786,0.5603073310189214,2025-10-29,-0.005674219811347858,-16.454967255974022,27.27445570830222,-1.3149367840978812
2025-10-30 23:00:00+00:00,743.0722683717829,2020.7300638117674,1277.6577954399854,1227.7429913415199,81.63833082467104,0.04040041383393587,49.91480409846549,-38.22193678493279,88.13674088339828,-16.392683717837492,0.0,-16.392683717837492,-12.225056568859763,0.5669999999999996,42,591.778063215067,521.8632591166019,1113.641322331669,69.9148040984652,0.551108404964774,2025-10-30,0.011029752011252114,-38.22193678493279,71.74405716556078,20.730063811767423
2025-10-31 23:00:00+00:00,683.0452683717829,2013.973261389021,1330.927993017238,1287.1483687930263,87.69644748126215,0.043543997908283366,43.77962422421163,-28.317581629879868,72.0972058540915,-16.392683717837492,0.0,-16.392683717837492,-12.819679117352958,0.5939999999999993,42,631.6824183701201,567.9027941459084,1199.5852125160286,63.779624224211716,0.5956311513732235,2025-10-31,-0.0033437432063542216,-28.317581629879868,55.704522136254006,13.97326138902099
2025-11-01 23:00:00+00:00,626.6534011451569,1992.0052479656497,1365.3518468204927,1326.4155144464041,90.75854151986735,0.04556139679479017,38.93633237408848,-22.23643131630481,61.17276369039329,-32.74401145157816,0.0,-32.74401145157816,-13.566072956860667,0.620999999999999,42,667.7635686836952,588.8272363096069,1256.590804993302,78.93633237408835,0.6308170153048567,2025-11-01,-0.010907797955678977,-22.23643131630481,28.42875223881513,-7.994752034350313
