time,symbol,side,price,notional,qty,fee,realized_pnl,reason,action,prediction,signal_date,max_leverage,margin_mode
2025-10-10 00:00:00+00:00,AVNT,-1,0.82924,10.0,-12.059234962134003,0.0045,0.0,daily_prediction,open,0.1552185656010658,2025-10-10,5.0,isolated
2025-10-10 00:00:00+00:00,BIGTIME,1,0.047443,10.0,210.77925089054233,0.0045,0.0,daily_prediction,open,0.8164643746954338,2025-10-10,5.0,isolated
2025-10-10 00:00:00+00:00,BTC,1,121615.0,10.0,8.222669900916828e-05,0.0045,0.0,daily_prediction,open,0.8362213377443519,2025-10-10,40.0,isolated
2025-10-10 00:00:00+00:00,CAKE,-1,3.7349,10.0,-2.6774478567029907,0.0045,0.0,daily_prediction,open,0.1577266581842127,2025-10-10,5.0,isolated
2025-10-10 00:00:00+00:00,LTC,1,126.04,10.0,0.07933989209774674,0.0045,0.0,daily_prediction,open,0.8760172324698116,2025-10-10,10.0,isolated
2025-10-10 00:00:00+00:00,TST,-1,0.03244,10.0,-308.2614056720099,0.0045,0.0,daily_prediction,open,0.1138857903636359,2025-10-10,5.0,isolated
2025-10-11 00:00:00+00:00,BNB,1,1103.1,10.0,0.009065361254645998,0.0045,0.0,daily_prediction,open,0.8736949463432129,2025-10-11,10.0,isolated
2025-10-11 00:00:00+00:00,BTC,1,112729.0,10.0,8.870831817899565e-05,0.0045,0.0,daily_prediction,merge_same_side,0.8606959823379368,2025-10-11,40.0,isolated
2025-10-11 00:00:00+00:00,SOL,1,187.53,10.0,0.053324801365114916,0.0045,0.0,daily_prediction,open,0.8305041710485288,2025-10-11,20.0,isolated
2025-10-11 00:00:00+00:00,STRK,-1,0.11066,10.0,-90.36688957166095,0.0045,0.0,daily_prediction,open,0.1668789845158496,2025-10-11,5.0,isolated
2025-10-11 00:00:00+00:00,TST,-1,0.020105,10.0,-497.3887092762994,0.0045,0.0,daily_prediction,merge_same_side,0.1664762221294249,2025-10-11,5.0,isolated
2025-10-11 00:00:00+00:00,WLD,-1,0.86935,10.0,-11.502846954621269,0.0045,0.0,daily_prediction,open,0.1855475362066977,2025-10-11,10.0,isolated
2025-10-12 00:00:00+00:00,AVNT,-1,0.60087,10.0,-16.642534990929818,0.0045,0.0,daily_prediction,merge_same_side,0.1294600268217619,2025-10-12,5.0,isolated
2025-10-12 00:00:00+00:00,BNB,1,1135.3,10.0,0.008808244516867788,0.0045,0.0,daily_prediction,merge_same_side,0.8959697010399812,2025-10-12,10.0,isolated
2025-10-12 00:00:00+00:00,BTC,1,110593.0,10.0,9.042163608908339e-05,0.0045,0.0,daily_prediction,merge_same_side,0.8755200980173405,2025-10-12,40.0,isolated
2025-10-12 00:00:00+00:00,SNX,-1,0.94279,10.0,-10.606815939922994,0.0045,0.0,daily_prediction,open,0.1226688253220428,2025-10-12,5.0,isolated
2025-10-12 00:00:00+00:00,XRP,1,2.3803,10.0,4.201151115405621,0.0045,0.0,daily_prediction,open,0.9183578523371672,2025-10-12,20.0,isolated
2025-10-12 00:00:00+00:00,YGG,-1,0.11201,10.0,-89.27774305865547,0.0045,0.0,daily_prediction,open,0.1668377773628292,2025-10-12,5.0,isolated
