signal_date,symbol,prediction,side,daily_rank
2025-10-28,TST,0.1046716453803235,-1,5
2025-10-28,MERL,0.1487603797837816,-1,6
2025-10-29,BTC,0.9589790820858748,1,1
2025-10-29,XRP,0.9177854562964244,1,2
2025-10-29,POLYX,0.8802523791010278,1,3
2025-10-29,SNX,0.0904276271924027,-1,4
2025-10-29,MERL,0.097740851032516,-1,5
2025-10-29,YGG,0.1061181299969732,-1,6
2025-10-30,LTC,0.8769184497433783,1,1
2025-10-30,GAS,0.8761883486851378,1,2
2025-10-30,SOL,0.8522119442584953,1,3
2025-10-30,SNX,0.067361662117707,-1,4
2025-10-30,TST,0.1246443812168582,-1,5
2025-10-30,ETHFI,0.1802729247951833,-1,6
2025-10-31,BTC,0.9208146081896712,1,1
2025-10-31,BNB,0.8868435080489634,1,2
2025-10-31,SOL,0.8778801434313566,1,3
2025-10-31,SNX,0.0590041508556303,-1,4
2025-10-31,YGG,0.1039771232602091,-1,5
2025-10-31,TST,0.1375877477768866,-1,6
2025-11-01,BTC,0.951320578154985,1,1
2025-11-01,SOL,0.9383863614226882,1,2
2025-11-01,XRP,0.9290952346701148,1,3
2025-11-01,SNX,0.0692508928645466,-1,4
2025-11-01,0G,0.1232850020115369,-1,5
2025-11-01,ZK,0.1272410481537055,-1,6
2025-11-02,BTC,0.9131771464304728,1,1
2025-11-02,ETC,0.9024388146669604,1,2
2025-11-02,BCH,0.9023281547028436,1,3
2025-11-02,SNX,0.070816792780132,-1,4
2025-11-02,MAVIA,0.0735691945401623,-1,5
2025-11-02,EIGEN,0.1221377198622292,-1,6
2025-11-03,BTC,0.9732135026966644,1,1
2025-11-03,ETH,0.937899128461882,1,2
2025-11-03,XRP,0.9320990428972254,1,3
2025-11-03,TST,0.1453420466932924,-1,4
2025-11-03,AI16Z,0.1477860843765677,-1,5
2025-11-03,ZEREBRO,0.1535218402247232,-1,6
2025-11-04,BTC,0.978148046655934,1,1
2025-11-04,BNB,0.9053770880195494,1,2
2025-11-04,ETH,0.9004292730130149,1,3
2025-11-04,ZK,0.0823977216052249,-1,4
2025-11-04,SNX,0.0834792099990696,-1,5
2025-11-04,MINA,0.1279572159462223,-1,6
2025-11-05,TRX,0.9378039076770548,1,1
2025-11-05,BTC,0.8757475767986981,1,2
2025-11-05,POL,0.8573854842410599,1,3
2025-11-05,AI16Z,0.1398771692101116,-1,4
2025-11-05,YGG,0.1534563773543286,-1,5
2025-11-05,MAVIA,0.1751403282941406,-1,6
2025-11-06,BTC,0.9589260308798068,1,1
2025-11-06,XRP,0.938906753051537,1,2
2025-11-06,SOL,0.9016999788442996,1,3
2025-11-06,MAVIA,0.0639259626526591,-1,4
2025-11-06,ZEN,0.1152077543600296,-1,5
2025-11-06,DYM,0.1415841392952931,-1,6
2025-11-07,BTC,0.9110266714405376,1,1
2025-11-07,ETC,0.8536536187343572,1,2
2025-11-07,XRP,0.8313015173311598,1,3
2025-11-07,ZK,0.0741195982475428,-1,4
2025-11-07,TST,0.0982038563885783,-1,5
2025-11-07,DYM,0.1453877623098947,-1,6
2025-11-08,BTC,0.914785847045638,1,1
2025-11-08,BCH,0.8761161225802614,1,2
2025-11-08,XRP,0.8731682705088237,1,3
2025-11-08,ZK,0.0671295256863959,-1,4
2025-11-08,DYM,0.1192457896178248,-1,5
2025-11-08,MAVIA,0.1515641635685019,-1,6
2025-11-09,BTC,0.8956681020577166,1,1
2025-11-09,LTC,0.839260967535335,1,2
2025-11-09,POLYX,0.8384211570591069,1,3
2025-11-09,ZK,0.0975647736436844,-1,4
2025-11-09,ZEN,0.1227017998041062,-1,5
2025-11-09,ZEREBRO,0.1622787161595228,-1,6
2025-11-10,XRP,0.9358782894141808,1,1
2025-11-10,BTC,0.89686277585649,1,2
2025-11-10,SOL,0.8799508153624606,1,3
2025-11-10,MINA,0.0905539749097788,-1,4
2025-11-10,MAVIA,0.1119761809261355,-1,5
2025-11-10,AR,0.1385487620020108,-1,6
2025-11-11,BTC,0.9496157680524812,1,1
2025-11-11,XRP,0.9168006936831096,1,2
2025-11-11,TRX,0.8862072072969763,1,3
2025-11-11,FIL,0.091688345309535,-1,4
2025-11-11,ZEN,0.1238627042822497,-1,5
2025-11-11,MAVIA,0.1483290507243222,-1,6
2025-11-12,BTC,0.9434999914839488,1,1
2025-11-12,XRP,0.9188181769265296,1,2
2025-11-12,TRX,0.9166487376649458,1,3
2025-11-12,MINA,0.0672401086152975,-1,4
2025-11-12,FIL,0.0770565102961925,-1,5
2025-11-12,ZEREBRO,0.1027379563850215,-1,6
2025-11-13,XRP,0.9271125934963144,1,1
2025-11-13,BCH,0.9249707493639844,1,2
2025-11-13,BTC,0.9127727045751018,1,3
2025-11-13,FIL,0.0719894419051691,-1,4
2025-11-13,FET,0.086354780374939,-1,5
2025-11-13,STRK,0.1160807736046755,-1,6
2025-11-14,TRX,0.9184340496267448,1,1
2025-11-14,BCH,0.9125067846089452,1,2
2025-11-14,BTC,0.9012806928859728,1,3
2025-11-14,FET,0.0911388480793103,-1,4
2025-11-14,FIL,0.0934174755736521,-1,5
2025-11-14,ZK,0.1479232078493379,-1,6
2025-11-15,TRX,0.9343361821887431,1,1
2025-11-15,BNB,0.8721001986005665,1,2
2025-11-15,POL,0.8606948105259535,1,3
2025-11-15,FET,0.1197327722942723,-1,4
2025-11-15,ICP,0.1302722403337507,-1,5
2025-11-15,AR,0.13256456431295,-1,6
2025-11-16,BTC,0.9478393457144252,1,1
2025-11-16,BNB,0.9308617271507852,1,2
2025-11-16,TRX,0.8967201013100342,1,3
2025-11-16,ZK,0.0966169949855604,-1,4
2025-11-16,MAVIA,0.1507442340080138,-1,5
2025-11-16,ICP,0.1708669193638402,-1,6
2025-11-17,XRP,0.9274943260018914,1,1
2025-11-17,TRX,0.8929648659254494,1,2
2025-11-17,BTC,0.8887248705621265,1,3
2025-11-17,FET,0.1484803398947971,-1,4
2025-11-17,MINA,0.1564682222953788,-1,5
2025-11-17,FIL,0.166493879950151,-1,6
2025-11-18,TRX,0.9424084831980624,1,1
2025-11-18,PAXG,0.9320517454441084,1,2
2025-11-18,BNB,0.9192535012165088,1,3
2025-11-18,STRK,0.1311454961788284,-1,4
2025-11-18,ZK,0.1359316800374887,-1,5
2025-11-18,MAVIA,0.1721492099576706,-1,6
2025-11-19,BCH,0.9549939978259904,1,1
2025-11-19,ETH,0.8860466179979607,1,2
2025-11-19,XRP,0.8728833388034081,1,3
2025-11-19,ZEREBRO,0.0873201610477819,-1,4
2025-11-19,FIL,0.1283871501638696,-1,5
2025-11-19,VIRTUAL,0.1345717354762953,-1,6
2025-11-20,BTC,0.8666858862695161,1,1
2025-11-20,PAXG,0.8478052151174436,1,2
2025-11-20,SAND,0.8395222914852253,1,3
2025-11-20,MINA,0.0933502155420032,-1,4
2025-11-20,FIL,0.1072810438897985,-1,5
2025-11-20,ZEN,0.1402966715095948,-1,6
2025-11-21,TRX,0.894099032899264,1,1
2025-11-21,PAXG,0.8908754089960257,1,2
2025-11-21,BTC,0.8614151280810184,1,3
2025-11-21,MINA,0.1175947798061479,-1,4
2025-11-21,ZK,0.1227757142734811,-1,5
2025-11-21,ICP,0.1506443548986021,-1,6
2025-11-22,TRX,0.920886613756669,1,1
2025-11-22,PAXG,0.8657325991683542,1,2
2025-11-22,XRP,0.8595791132130971,1,3
2025-11-22,ZK,0.1172956457423919,-1,4
2025-11-22,STRK,0.1543740606316556,-1,5
2025-11-22,MINA,0.1644427439139568,-1,6
2025-11-23,BNB,0.8826298390771362,1,1
2025-11-23,BTC,0.8731147294584891,1,2
2025-11-23,ETH,0.8644133560647569,1,3
2025-11-23,ICP,0.1162061056299322,-1,4
2025-11-23,ZK,0.1238047481370286,-1,5
2025-11-23,MINA,0.1238363205330067,-1,6
2025-11-24,XRP,0.9312239009982336,1,1
2025-11-24,PAXG,0.9297746076390044,1,2
2025-11-24,BTC,0.9297429129325312,1,3
2025-11-24,ZK,0.132299220342363,-1,4
2025-11-24,FET,0.1736913586281381,-1,5
2025-11-24,MAVIA,0.1741529370019553,-1,6
2025-11-25,ETH,0.8994599940707994,1,1
2025-11-25,XRP,0.8807389650448687,1,2
2025-11-25,SOL,0.86593572729101,1,3
2025-11-25,STRK,0.077400077593019,-1,4
2025-11-25,GRASS,0.107749894139248,-1,5
2025-11-25,MAVIA,0.1294799827525337,-1,6
2025-11-26,ETH,0.8985987094641332,1,1
2025-11-26,GAS,0.8905646908010896,1,2
2025-11-26,COMP,0.8754225059612532,1,3
2025-11-26,TNSR,0.0716907208172372,-1,4
2025-11-26,MAVIA,0.1149404183874266,-1,5
2025-11-26,DYM,0.1683806891302053,-1,6
2025-11-27,BNB,0.913489059654354,1,1
2025-11-27,BTC,0.9096195340349764,1,2
2025-11-27,ETH,0.8670045485310933,1,3
2025-11-27,TNSR,0.0715189235174344,-1,4
2025-11-27,MAVIA,0.1129766983975529,-1,5
2025-11-27,ZK,0.134366009835744,-1,6
2025-11-28,BTC,0.9602809650322824,1,1
2025-11-28,TRX,0.9440066382719108,1,2
2025-11-28,BNB,0.906841534537154,1,3
2025-11-28,TNSR,0.0623539607147299,-1,4
2025-11-28,USUAL,0.1064135700421577,-1,5
2025-11-28,MAVIA,0.1402730576438275,-1,6
2025-11-29,TRX,0.94066210064008,1,1
